year_of_construction,Сумма price_meter
1991,2876921
1992,3053973
1993,3079177
1994,5940150
1995,2894347
1996,3801436
1997,2829874
1998,2757720
1999,4307146
2000,3324281
2001,4645267
2002,5089704
2003,6906571
2004,8431582
2005,10070566
2006,16834610
2007,12927252
2008,14163799
2009,11619325
2010,10729457
2011,15581613
2012,17438530
2013,21436580
2014,35477874
2015,36924788
2016,31668198
2017,32677263
2018,35455212
2019,29441382
2020,29141218
2021,45549252
2022,62166328
2023,117302816
2024,143195980
